symbol,date_0d,price_0d,perf_7d,perf_30d,perf_90d,perf_365d,listing_date,days_diff
GPSO.JK,2021-09-06 02:00:00,242.0,-20.66115702479339,-28.92561983471074,-45.867768595041326,-49.17355371900827,2021-09-06,0
ESTA.JK,2020-03-09 02:00:00,67.74512481689453,-3.9215657567682105,-42.64705435188894,-55.882351450629656,-49.50980287266531,2020-03-09,0
BISI.JK,2007-05-28 02:00:00,340.0,38.23529411764706,30.88235294117647,161.76470588235296,1311.764705882353,2007-05-28,0
TAPG.JK,2021-04-12 02:00:00,270.0,151.85185185185185,187.03703703703704,148.14814814814815,151.85185185185185,2021-04-12,0
SMKM.JK,2022-03-09 02:00:00,238.0,-27.310924369747898,8.403361344537815,-5.042016806722689,252.94117647058823,2022-03-09,0
KJEN.JK,2019-07-01 02:00:00,302.0,201.3245033112583,363.57615894039736,560.5960264900662,264.2384105960265,2019-07-01,0
TRUS.JK,2002-11-28 02:00:00,97.5,7.6923076923076925,0.0,-15.384615384615385,-5.128205128205128,2002-11-28,0
KPAS.JK,2018-10-05 02:00:00,284.0,47.88732394366197,69.71830985915493,45.07042253521127,-65.14084507042254,2018-10-05,0
BAIK.JK,2024-02-15 02:00:00,210.0,-49.047619047619044,-56.666666666666664,-62.857142857142854,-64.76190476190476,2024-02-15,0
OBMD.JK,2021-12-08 02:00:00,168.0,-10.714285714285714,-26.190476190476193,-30.952380952380953,21.428571428571427,2021-12-08,0
DWGL.JK,2017-12-13 02:00:00,254.0,81.88976377952756,136.2204724409449,-9.448818897637794,-68.89763779527559,2017-12-13,0
NINE.JK,2022-12-05 02:00:00,69.0,-37.68115942028986,-33.33333333333333,-47.82608695652174,-84.05797101449275,2022-12-05,0
CSIS.JK,2017-05-10 02:00:00,450.0,57.77777777777777,104.44444444444446,77.77777777777779,218.8888888888889,2017-05-10,0
MKAP.JK,2024-02-12 02:00:00,155.0,61.29032258064516,52.25806451612903,155.48387096774195,201.93548387096774,2024-02-12,0
DSNG.JK,2013-06-14 02:00:00,374.0,0.0,-1.6042780748663104,-1.6042780748663104,73.79679144385027,2013-06-14,0
BWPT.JK,2009-10-27 02:00:00,473.8552551269531,-5.263159589545864,-12.280701415424161,-1.754388676606715,78.94736164181654,2009-10-27,0
BAPI.JK,2019-09-16 02:00:00,130.0,-12.307692307692308,-61.53846153846154,-61.53846153846154,-61.53846153846154,2019-09-16,0
GTSI.JK,2021-09-08 02:00:00,93.0,-17.20430107526882,-18.27956989247312,-23.655913978494624,-30.107526881720432,2021-09-08,0
ALTO.JK,2012-07-10 02:00:00,302.3438720703125,25.396832446369327,20.634923839258786,6.349208111592332,96.82540099103643,2012-07-10,0
RONY.JK,2020-04-09 02:00:00,135.0,181.4814814814815,52.59259259259259,36.2962962962963,12.592592592592592,2020-04-09,0
EDGE.JK,2021-02-08 02:00:00,1770.0,106.21468926553672,62.71186440677966,31.92090395480226,152.25988700564972,2021-02-08,0
CAMP.JK,2017-12-19 02:00:00,494.0,93.31983805668015,47.77327935222672,3.2388663967611335,-18.62348178137652,2017-12-19,0
AMAN.JK,2020-03-13 02:00:00,148.0,29.72972972972973,51.35135135135135,34.45945945945946,97.2972972972973,2020-03-13,0
BIPI.JK,2010-02-11 02:00:00,191.0,9.947643979057592,36.12565445026178,1.0471204188481675,-54.45026178010471,2010-02-11,0
BUVA.JK,2010-07-12 02:00:00,155.0,-4.838709677419355,-4.838709677419355,58.06451612903226,56.451612903225815,2010-07-12,0
LMAS.JK,2001-12-28 02:00:00,510.0,2.941176470588235,12.745098039215685,32.35294117647059,120.58823529411764,2001-12-28,0
SINI.JK,2019-11-08 02:00:00,183.0,225.1366120218579,389.07103825136613,714.207650273224,116.39344262295081,2019-11-08,0
MEJA.JK,2024-02-12 02:00:00,113.0,-4.424778761061947,53.98230088495575,33.6283185840708,37.16814159292036,2024-02-12,0
SMGA.JK,2024-01-30 02:00:00,141.0,-18.439716312056735,-31.20567375886525,-44.680851063829785,-32.62411347517731,2024-01-30,0
VISI.JK,2024-02-27 02:00:00,153.0,-20.915032679738562,4.57516339869281,139.2156862745098,139.2156862745098,2024-02-27,0
ACRO.JK,2024-01-11 02:00:00,145.0,-14.482758620689657,-35.86206896551724,-35.86206896551724,-35.86206896551724,2024-01-11,0
APII.JK,2013-10-29 02:00:00,330.0,-19.696969696969695,-31.818181818181817,-33.33333333333333,27.27272727272727,2013-10-29,0
MSJA.JK,2024-01-10 02:00:00,346.0,11.560693641618498,-2.312138728323699,-13.872832369942195,-12.716763005780345,2024-01-10,0
PDES.JK,2008-07-08 02:00:00,340.0,17.647058823529413,16.176470588235293,-44.11764705882353,-27.941176470588236,2008-07-08,0
GEMS.JK,2011-11-17 02:00:00,2725.0,6.422018348623854,-4.587155963302752,-4.587155963302752,-11.926605504587156,2011-11-17,0
LIVE.JK,2024-02-12 02:00:00,174.0,0.5747126436781609,-13.218390804597702,4.022988505747127,6.321839080459771,2024-02-12,0
CSMI.JK,2020-04-09 02:00:00,197.0,-8.121827411167512,-10.152284263959391,16.751269035532996,813.7055837563452,2020-04-09,0
HDIT.JK,2019-07-12 02:00:00,785.0,2.547770700636943,1.910828025477707,-0.6369426751592357,-41.910828025477706,2019-07-12,0
CLAY.JK,2019-01-18 02:00:00,306.0,202.2875816993464,455.55555555555554,929.4117647058824,880.3921568627452,2019-01-18,0
TOSK.JK,2024-02-07 02:00:00,130.0,-26.153846153846157,-24.615384615384617,-50.0,-47.69230769230769,2024-02-07,0
